"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Yang X.; Zhang B.; An N.","Yang, Xiaoting (57416201100); Zhang, Bo (58366990600); An, Ning (56033976900)","57416201100; 58366990600; 56033976900","Cross-border flows of educational infrastructure and Chinese urban space’s reconstruction: A case study of the Guangdong-Hong Kong-Macao Greater Bay Area","2022","Progress in Geography","41","9","","1731","1742","11","0","10.18306/dlkxjz.2022.09.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148618169&doi=10.18306%2fdlkxjz.2022.09.014&partnerID=40&md5=f15a5f984966de7b9c0e3c56420734de","Article","Final","","Scopus","2-s2.0-85148618169"
"Zhu L.; Dong S.; Huang T.; Tian Y.","Zhu, Lin (57209026146); Dong, Siwei (56106282000); Huang, Tiejun (8914299500); Tian, Yonghong (7402840445)","57209026146; 56106282000; 8914299500; 7402840445","Hybrid Coding of Spatiotemporal Spike Data for a Bio-Inspired Camera","2021","IEEE Transactions on Circuits and Systems for Video Technology","31","7","9229202","2837","2851","14","6","10.1109/TCSVT.2020.3032014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112686249&doi=10.1109%2fTCSVT.2020.3032014&partnerID=40&md5=721484a7c1a970c6c7021daa0aca9a4a","Article","Final","","Scopus","2-s2.0-85112686249"
"Yang M.; Wei B.; Hao K.; Gao L.; Liu X.; He L.","Yang, Miao (58643919900); Wei, Bing (57204475594); Hao, Kuangrong (56386923100); Gao, Lei (57804241700); Liu, Xiaoyan (56210985500); He, Langping (58645485400)","58643919900; 57204475594; 56386923100; 57804241700; 56210985500; 58645485400","An efficient unsupervised approach for textile defect detection through unifying texture reconstruction and semantic localization","2023","Textile Research Journal","","","","","","","0","10.1177/00405175231202039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174003287&doi=10.1177%2f00405175231202039&partnerID=40&md5=23d1d2e697dde5ec89c780da0c8959bd","Article","Article in press","","Scopus","2-s2.0-85174003287"
"Cao J.; Hu X.; Tian Y.","Cao, Jianfang (36175317900); Hu, Xiaohui (57367520800); Tian, Yun (57192187709)","36175317900; 57367520800; 57192187709","Zero-sample mural superresolution reconstruction for enhanced perceptual quality","2023","Heritage Science","11","1","67","","","","0","10.1186/s40494-023-00907-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152544080&doi=10.1186%2fs40494-023-00907-6&partnerID=40&md5=4d3c61b8e1816daf3617def4241617f9","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85152544080"
"Chen F.; Zhang T.; Liu H.","Chen, Feng (57213591008); Zhang, Tongtong (57891226300); Liu, Heng (57022065500)","57213591008; 57891226300; 57022065500","Face image inpainting via latent features reconstruction and mask awareness","2022","Computers and Electrical Engineering","103","","108282","","","","1","10.1016/j.compeleceng.2022.108282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138120394&doi=10.1016%2fj.compeleceng.2022.108282&partnerID=40&md5=c6b8e83214f629de7beda0c2d8685ee3","Article","Final","","Scopus","2-s2.0-85138120394"
"Yang H.; Zhou Q.; Song K.; Yin Z.","Yang, Hua (57189633161); Zhou, Qinyuan (57220924934); Song, Kaiyou (57197876154); Yin, Zhouping (7401498779)","57189633161; 57220924934; 57197876154; 7401498779","An Anomaly Feature-Editing-Based Adversarial Network for Texture Defect Visual Inspection","2021","IEEE Transactions on Industrial Informatics","17","3","9164986","2220","2230","10","24","10.1109/TII.2020.3015765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097874675&doi=10.1109%2fTII.2020.3015765&partnerID=40&md5=4ad4254b2cb349d098426885fd1e6ab5","Article","Final","","Scopus","2-s2.0-85097874675"
"Jin K.; Wang X.; Shao F.","Jin, Kangjun (57842226300); Wang, Xuejin (57205684875); Shao, Feng (7006717672)","57842226300; 57205684875; 7006717672","Jointly Texture Enhanced and Stereo Captured Network for Stereo Image Super-Resolution","2023","Pattern Recognition Letters","167","","","141","148","7","0","10.1016/j.patrec.2023.02.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148322786&doi=10.1016%2fj.patrec.2023.02.015&partnerID=40&md5=1109e99a337946f1cfb659fe3a0a55ec","Article","Final","","Scopus","2-s2.0-85148322786"
"Zhang H.; Shi C.; Zhang X.; Wu L.; Li X.; Peng J.; Wu X.; Lv J.","Zhang, Hao (57865306900); Shi, Canghong (57192078268); Zhang, Xian (57211110031); Wu, Linfeng (57890715800); Li, Xiaojie (56066646100); Peng, Jing (57189467963); Wu, Xi (55715107000); Lv, Jiancheng (57215374165)","57865306900; 57192078268; 57211110031; 57890715800; 56066646100; 57189467963; 55715107000; 57215374165","Multi-scale progressive blind face deblurring","2023","Complex and Intelligent Systems","9","2","","1439","1453","14","2","10.1007/s40747-022-00865-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138117460&doi=10.1007%2fs40747-022-00865-9&partnerID=40&md5=e11b7e423b1091c197c75c7bfa19e913","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85138117460"
"Xiao D.; Zeng R.; Liu Y.; Huang Y.; Liu J.; Feng J.; Zhang X.","Xiao, Deqin (24469363100); Zeng, Ruilin (57227982100); Liu, Youfu (57206825175); Huang, Yigui (57225910332); Liu, Junbing (57814578800); Feng, Jianzhao (24467859300); Zhang, Xinglong (57815156600)","24469363100; 57227982100; 57206825175; 57225910332; 57814578800; 24467859300; 57815156600","Citrus greening disease recognition algorithm based on classification network using TRL-GAN","2022","Computers and Electronics in Agriculture","200","","107206","","","","8","10.1016/j.compag.2022.107206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134679290&doi=10.1016%2fj.compag.2022.107206&partnerID=40&md5=e568e0aee82f346e96060e44ce8fdf28","Article","Final","","Scopus","2-s2.0-85134679290"
"Deepak S.; Patra D.; Moorthi S.M.","Deepak, Shashikant (57216807543); Patra, DIpti (23985620900); Moorthi, S. Manthira (54395659100)","57216807543; 23985620900; 54395659100","Single image super-resolution reconstruction of remotely sensed images using MRF-2D phase congruency model","2021","Journal of Applied Remote Sensing","15","4","046507","","","","0","10.1117/1.JRS.15.046507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122650203&doi=10.1117%2f1.JRS.15.046507&partnerID=40&md5=a2e37fe8c09e66de86febcdf17114cbd","Article","Final","","Scopus","2-s2.0-85122650203"
"Aarizou K.; Loukil A.","Aarizou, Kawther (57225051133); Loukil, Abdelhamid (6508133463)","57225051133; 6508133463","Self-similarity single image super-resolution based on blur kernel estimation for texture reconstruction","2022","International Journal of Computational Science and Engineering","25","1","","64","73","9","1","10.1504/IJCSE.2022.120791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125092237&doi=10.1504%2fIJCSE.2022.120791&partnerID=40&md5=f1546f44cc07789b9ea98b566c9b9b1b","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85125092237"
"Liu L.; Zhu P.; Guan J.; Jiang R.; Zhou X.","Liu, Lu (57209926362); Zhu, Pan (55414089200); Guan, Jiaxi (57245925100); Jiang, Rong (57245499700); Zhou, Xinglin (8936851700)","57209926362; 55414089200; 57245925100; 57245499700; 8936851700","A binocular reconstruction method fused with Laplacian image information for pavement texture evaluation","2021","Measurement: Journal of the International Measurement Confederation","185","","110039","","","","3","10.1016/j.measurement.2021.110039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114236211&doi=10.1016%2fj.measurement.2021.110039&partnerID=40&md5=2cb0eb406e907f6cb597021afe1ba796","Article","Final","","Scopus","2-s2.0-85114236211"
"Gecer B.; Ploumpis S.; Kotsia I.; Zafeiriou S.","Gecer, Baris (57192671195); Ploumpis, Stylianos (56648048200); Kotsia, Irene (16030934400); Zafeiriou, Stefanos (8883680000)","57192671195; 56648048200; 16030934400; 8883680000","Fast-GANFIT: Generative Adversarial Network for High Fidelity 3D Face Reconstruction","2022","IEEE Transactions on Pattern Analysis and Machine Intelligence","44","9","","4879","4893","14","10","10.1109/TPAMI.2021.3084524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107199589&doi=10.1109%2fTPAMI.2021.3084524&partnerID=40&md5=e4274f4d96908342cd86c170ead4b407","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85107199589"
"Jian Z.; Wang X.; Ren J.; Ren M.","Jian, Zhenxiong (57216756218); Wang, Xi (57203580094); Ren, Jieji (57195717997); Ren, Mingjun (36646776700)","57216756218; 57203580094; 57195717997; 36646776700","Metal Surface Texture Reconstruction Based on Near-Field Photometric Stereo; [基于近场光度立体视觉的金属表面纹理重构]","2021","Guangxue Xuebao/Acta Optica Sinica","41","11","1112002","","","","3","10.3788/AOS202141.1112002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113275803&doi=10.3788%2fAOS202141.1112002&partnerID=40&md5=24621863ad373a86ef7e5547a570ea33","Article","Final","","Scopus","2-s2.0-85113275803"
"Schneider T.; Hill D.; Kákay A.; Lenz K.; Lindner J.; Fassbender J.; Upadhyaya P.; Liu Y.; Wang K.; Tserkovnyak Y.; Krivorotov I.N.; Barsukov I.","Schneider, T. (56954241900); Hill, D. (57214381628); Kákay, A. (56002209700); Lenz, K. (7103243546); Lindner, J. (7201829701); Fassbender, J. (9247546900); Upadhyaya, P. (36467217400); Liu, Yuxiang (57191754529); Wang, Kang (7201949295); Tserkovnyak, Y. (6701709732); Krivorotov, I.N. (6701843693); Barsukov, I. (7005784574)","56954241900; 57214381628; 56002209700; 7103243546; 7201829701; 9247546900; 36467217400; 57191754529; 7201949295; 6701709732; 6701843693; 7005784574","Self-stabilizing exchange-mediated spin transport","2021","Physical Review B","103","14","144412","","","","8","10.1103/PhysRevB.103.144412","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104386266&doi=10.1103%2fPhysRevB.103.144412&partnerID=40&md5=62847bbf1a97151bfe9acabac700d9b8","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85104386266"
"Zhou L.; Jia W.; Feng H.","Zhou, Lingting (57223266278); Jia, Wei (57190406993); Feng, Hailin (23392323100)","57223266278; 57190406993; 23392323100","Reconstructing decorative texture of wooden board based on modified image quilting","2021","Journal of Electronic Imaging","30","2","023012","","","","0","10.1117/1.JEI.30.2.023012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105410904&doi=10.1117%2f1.JEI.30.2.023012&partnerID=40&md5=6c1be12a76a8770e8196b3ca8f7e8dd8","Article","Final","","Scopus","2-s2.0-85105410904"
