"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Chen Y.; Wang J.; Chen X.; Zhu M.; Yang K.; Wang Z.; Xia R.","Chen, Yuantao (57570221700); Wang, Jin (58179132600); Chen, Xi (57192475569); Zhu, Mingwei (57208822896); Yang, Kai (57201747956); Wang, Zhi (57208821267); Xia, Runlong (57205367641)","57570221700; 58179132600; 57192475569; 57208822896; 57201747956; 57208821267; 57205367641","Single-Image Super-Resolution Algorithm Based on Structural Self-Similarity and Deformation Block Features","2019","IEEE Access","7","","8693792","58791","58801","10","82","10.1109/ACCESS.2019.2911892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065887395&doi=10.1109%2fACCESS.2019.2911892&partnerID=40&md5=3c1440065366031530006d3151c757a5","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85065887395"
"Wen M.; Park J.; Cho K.","Wen, Mingyun (56982444400); Park, Jisun (57192682916); Cho, Kyungeun (14833735900)","56982444400; 57192682916; 14833735900","Textured mesh generation using multi-view and multi-source supervision and generative adversarial networks","2021","Remote Sensing","13","21","4254","","","","1","10.3390/rs13214254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118145666&doi=10.3390%2frs13214254&partnerID=40&md5=c5c0894af9cf41a98e9ff979af54830b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85118145666"
"Yang S.; Wang H.; Wang Y.; Li J.; Wang Y.","Yang, Sichen (57212138469); Wang, Huafeng (36783787700); Wang, Yuehai (57194466632); Li, Jintao (8982960600); Wang, Yunhao (57211984288)","57212138469; 36783787700; 57194466632; 8982960600; 57211984288","Super-resolution reconstruction algorithm based on deep learning mechanism and wavelet fusion; [深度学习机制与小波融合的超分辨率重建算法]","2020","Beijing Hangkong Hangtian Daxue Xuebao/Journal of Beijing University of Aeronautics and Astronautics","46","1","","189","197","8","2","10.13700/j.bh.1001-5965.2019.0146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078945682&doi=10.13700%2fj.bh.1001-5965.2019.0146&partnerID=40&md5=29b52504f91a3e0bf49517881106e23c","Article","Final","","Scopus","2-s2.0-85078945682"
"Chen Y.; Wang J.; Chen X.; Sangaiah A.K.; Yang K.; Cao Z.","Chen, Yuantao (57570221700); Wang, Jin (57200027740); Chen, Xi (57192475569); Sangaiah, Arun Kumar (55616335800); Yang, Kai (57201747956); Cao, Zhouhong (51664611900)","57570221700; 57200027740; 57192475569; 55616335800; 57201747956; 51664611900","Image super-resolution algorithm based on dual-channel convolutional neural networks","2019","Applied Sciences (Switzerland)","9","11","2316","","","","35","10.3390/app9112316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067252984&doi=10.3390%2fapp9112316&partnerID=40&md5=7d6014b3aeaa1e32f20823af8d051e32","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85067252984"
"Abd El-Fattah I.; Ali A.M.; El-Shafai W.; Taha T.E.; Abd El-Samie F.E.","Abd El-Fattah, Ibrahim (58148714300); Ali, Anas M. (57198724497); El-Shafai, Walid (55819860600); Taha, Taha E. (36715718000); Abd El-Samie, Fathi E. (12785222000)","58148714300; 57198724497; 55819860600; 36715718000; 12785222000","Deep-learning-based super-resolution and classification framework for skin disease detection applications","2023","Optical and Quantum Electronics","55","5","427","","","","0","10.1007/s11082-022-04432-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150465819&doi=10.1007%2fs11082-022-04432-x&partnerID=40&md5=1b078f871f4d995dcc80abb43ee8a835","Article","Final","","Scopus","2-s2.0-85150465819"
"Deepak S.; Patra D.; Moorthi S.M.","Deepak, Shashikant (57216807543); Patra, DIpti (23985620900); Moorthi, S. Manthira (54395659100)","57216807543; 23985620900; 54395659100","Single image super-resolution reconstruction of remotely sensed images using MRF-2D phase congruency model","2021","Journal of Applied Remote Sensing","15","4","046507","","","","0","10.1117/1.JRS.15.046507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122650203&doi=10.1117%2f1.JRS.15.046507&partnerID=40&md5=a2e37fe8c09e66de86febcdf17114cbd","Article","Final","","Scopus","2-s2.0-85122650203"
"Ziteng S.; Zhiren W.; Rui W.; Fuquan R.","Ziteng, Shi (57205130232); Zhiren, Wang (57170840900); Rui, Wang (57205124148); Fuquan, Ren (57205129321)","57205130232; 57170840900; 57205124148; 57205129321","Single image super-resolution based on convolutional neural network","2018","Laser and Optoelectronics Progress","55","12","121001","","","","8","10.3788/lop55.121001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058684400&doi=10.3788%2flop55.121001&partnerID=40&md5=3b15919a3536ec362464c41ba9672f56","Article","Final","","Scopus","2-s2.0-85058684400"
